Ключ проблемы,Идентификатор проблемы,Идентификатор родителя,Статус,Создано,Обновленo,Исполнитель,Пользовательское поле (Story Points),Тема,Создатель
DE-255,100909,,Готово,04.10.2021 12:50 ,01.02.2023 12:33 ,permyakovana,,Актуализировать скрипт раскатки MART_EREGISTRATION,klekovkinve
DE-253,100841,,Готово,04.10.2021 10:10 ,01.02.2023 12:33 ,permyakovana,,"Исправить данные в справочнике ""ODS_SBR_DICT"".""VTB_MANAGER_EMAIL""",klekovkinve
DE-252,100832,,Готово,04.10.2021 09:54 ,01.02.2023 12:32 ,fedotovap,,Добавить в раскатку MART_SALES,klekovkinve
DE-250,100651,,Готово,01.10.2021 13:44 ,01.02.2023 12:33 ,sharovns,,Актуализировать статусы/таймкоды объявлений классифайда,klekovkinve
DE-249,100650,,Готово,01.10.2021 13:37 ,01.02.2023 12:33 ,sharovns,,Распарсить локации по классифайду,klekovkinve
DE-247,100233,,Готово,29.09.2021 20:06 ,01.02.2023 12:33 ,permyakovana,,"Изменить справочник ""ODS_SBR_DICT"".""MAP_REGION_FROM_INN_TO_ROO_VTB""",klekovkinve
DE-246,100227,,Готово,29.09.2021 19:26 ,01.02.2023 12:33 ,permyakovana,,"Изменить справочник ""ODS_SBR_DICT"".""CORRECTION_REGION_BY_INN""",klekovkinve
DE-245,100225,,Готово,29.09.2021 19:07 ,01.02.2023 12:33 ,permyakovana,,"Создать справочник ""ODS_SBR_DICT"".""DEAL_EVENT_CSV""",klekovkinve
DE-244,100166,,Готово,29.09.2021 16:19 ,01.02.2023 12:33 ,permyakovana,,"Создать справочник ""ODS_SBR_DICT"".""OVERNIGHT_RATE""",klekovkinve
ANL-1114,100100,,Закрыт,29.09.2021 12:46 ,08.11.2021 14:35 ,klekovkinve,,Добавить сегмент других банков в ЭР1,klekovkinve
DE-243,99661,,Готово,27.09.2021 17:12 ,01.02.2023 12:32 ,fedotovap,,Добавить раскатку для CLASSIFIED,klekovkinve
ANL-1107,99533,,Закрыт,27.09.2021 11:55 ,07.02.2022 17:01 ,klekovkinve,,Создать таблицу регионов для MART_CLASSIFIED.DATE_LOCATION_PRICE,klekovkinve
DE-242,98919,,Готово,23.09.2021 10:56 ,01.02.2023 12:32 ,fedotovap,,Создать схему DM_CLASSIFIED_BI,klekovkinve
DE-240,98818,,Готово,22.09.2021 15:47 ,01.02.2023 12:33 ,permyakovana,,"Заменить справочник REPAIR/VTB_EMAILS (""ODS_REPAIR_DICT"".""VTB_EMAILS"")",klekovkinve
ANL-1102,98570,,Закрыт,21.09.2021 15:06 ,04.02.2022 13:02 ,klekovkinve,,Скалиброваться с классифайдом по датам объявлений,klekovkinve
DE-237,98028,,Готово,17.09.2021 14:11 ,01.02.2023 12:33 ,sharovns,,Неправильно парсится локация в CLASSIFIED,klekovkinve
ANL-1095,97529,,Закрыт,15.09.2021 16:05 ,15.09.2021 16:53 ,klekovkinve,,Ad-hoc выгрузка по АН,klekovkinve
ANL-1092,97269,,Закрыт,14.09.2021 16:20 ,28.04.2023 14:59 ,,,Доработка отчета по продажам (стоп-лист сотрудник-компания),klekovkinve
ANL-1089,97188,,Закрыт,14.09.2021 14:00 ,28.02.2022 01:15 ,klekovkinve,,Доработка отчета по продажам (изменение структуры в когносе),klekovkinve
DE-230,96694,,Готово,10.09.2021 17:35 ,01.02.2023 12:33 ,davydovae,,Создать таблицу MART_CLASSIFIED/EVENT,klekovkinve
ANL-1078,96684,,Закрыт,10.09.2021 17:12 ,28.04.2023 14:59 ,,,Доработка отчета по продажам (среднее по сделкам),klekovkinve
ANL-1074,96063,,Закрыт,08.09.2021 10:48 ,28.04.2023 14:59 ,,,Доработка отчета по продажам (сделки КДКП),klekovkinve
DE-225,95646,,Cancel,06.09.2021 12:16 ,29.01.2024 11:19 ,,,Создать таблицу MART_SALES/DealFactSbrEreg,klekovkinve
DE-223,95367,,Cancel,03.09.2021 11:12 ,29.01.2024 11:19 ,fedotovap,,Добавить схему MART_SALES,klekovkinve
DE-222,95238,,Cancel,02.09.2021 15:53 ,29.01.2024 12:42 ,permyakovana,,Обновить справочник /M2/SALES_EMPLOYEE_HIERARCHY,klekovkinve
DE-221,95156,,Cancel,02.09.2021 12:35 ,29.01.2024 11:19 ,permyakovana,,Обновление справочника DICT/M2/SALES_TARGET,klekovkinve
DE-220,95140,,Cancel,02.09.2021 12:02 ,29.01.2024 11:19 ,,,Создать справочник /REPAIR/VTB_CEC_LEADERS,klekovkinve
DE-219,95128,,Cancel,02.09.2021 11:40 ,29.01.2024 11:19 ,permyakovana,,"Обновить справочники ""ODS_SBR_DICT"".""VTB_MANAGER...""",klekovkinve
DE-218,95114,,Cancel,02.09.2021 10:53 ,29.01.2024 11:19 ,permyakovana,,"Обновить справочник ""ODS_SBR_DICT"".""VTB_PLAN_2020_BY_REGION""",klekovkinve
